EAN/UPC,Material,BUn,Category,Key Word,Art Desc,Aisle Number,Side,Aisle Section
88236911032,262620,EA,Grocery Ambient,Meal Makers,Gia  Basmati Rice 8LB,10,L,6
8.85E+11,814508,EA,Grocery Ambient,Canned Food and Ready to Eat,Mama Instant Noodle Shrimp,10,L,2
8.85E+11,814506,EA,Grocery Ambient,Canned Food and Ready to Eat,Mama Instant Noodle Chicken,10,L,2
8.85E+11,814509,EA,Grocery Ambient,Canned Food and Ready to Eat,Mama Instant Noodle Pork,10,L,2
8.85E+11,395013,EA,Grocery Ambient,Meal Makers,Mama Rice Whl Grain Verm Inst,10,L,2
8.85E+11,395009,EA,Grocery Ambient,Meal Makers,Mama Noodles Rice Verm Inst,10,L,2
8.85E+11,395006,EA,Grocery Ambient,Meal Makers,Mama Noodles Rice Instant,10,L,2
8.85E+12,948711,CS,Grocery Ambient,Meal Makers,Jasmine Rice Sunflower Thai,10,L,7
8.85E+11,460810,EA,Grocery Ambient,Meal Makers,CTF Rice Thai Jasmine,10,L,7
8856600001,374570,EA,Grocery Ambient,Cooking Ingredients,Orig Pickled Asparagus Spears,10,R,6
89446700008,400398,EA,Grocery Ambient,Ambient Beverages,Kosa Coconut Water 100%,10,L,2
89446700017,400444,EA,Grocery Ambient,Ambient Beverages,Kosa Coconut Water Can,10,L,2
89446700018,420139,EA,Grocery Ambient,Meal Makers,Kosa Rice Stick 1mm,10,L,3
89505900085,574334,EA,Grocery Ambient,Meal Makers,Barilla Papardelle,10,R,3
89618000165,698948,EA,Grocery Ambient,Cooking Ingredients,McClures Pickles Spear Spicy,10,R,6
89618000166,698946,EA,Grocery Ambient,Cooking Ingredients,McClures Pickles Grlc&Dill Spr,10,R,6
89618000167,698950,EA,Grocery Ambient,Cooking Ingredients,McClures Pickles Sweet & Spicy,10,R,6
89618000171,699147,EA,Grocery Ambient,Cooking Ingredients,McClures Bread & Butter Pickle,10,R,6
89644600212,297954,EA,Grocery Ambient,Cooking Ingredients,OLive&CO Olv Oil Ex Virg Prem,10,L,8
89644600234,493438,EA,Grocery Ambient,Cooking Ingredients,OLive&Co Olive Oil ExVirg Org,10,L,8
8968617079,394968,EA,Grocery Ambient,Meal Makers,Indomie Noodles Goreng Instant,10,L,2
9.31E+11,508773,EA,Grocery Ambient,Meal Makers,Sunrice Japan Stle Sushi Rice,10,L,7
9.31E+11,508771,EA,Grocery Ambient,Meal Makers,Sunrice Basmati Indian Rice,10,L,7
9.42E+11,348973,EA,Grocery Ambient,Snacking,Auntys Pudd Sticky Toff Stmd,10,L,13
9733900005,549895,EA,Grocery Ambient,Meal Makers,Valentna Sauce Mexican Hot,10,L,7
9733900006,549896,EA,Grocery Ambient,Meal Makers,Valentina Mexican Extra Hot Sa,10,R,8
1258770441,423837,EA,Grocery Ambient,Food Packaging and Waste Management,Glad Press n Seal Wrap 21.60M,9,L,1
19056901136,502354,EA,Grocery Ambient,Canned Food and Ready to Eat,Green Giant Sweetlet Peas,9,R,5
19056901460,410134,EA,Grocery Ambient,Canned Food and Ready to Eat,G/G Peas Summer Sweet,9,R,5
19056901492,253326,EA,Grocery Ambient,Canned Food and Ready to Eat,GrnGiant Summer Swt Peas,9,R,5
19056901917,500863,EA,Grocery Ambient,Canned Food and Ready to Eat,G/G Peas 1/3 -Salt Summer,9,R,5
19056907162,506384,EA,Grocery Ambient,Canned Food and Ready to Eat,GrnGiant Garden Medley,9,R,5
19056907200,410140,EA,Grocery Ambient,Canned Food and Ready to Eat,G/G Peas & Carrots,9,R,5
19056910025,416241,EA,Grocery Ambient,Canned Food and Ready to Eat,G/G Corn Niblets Fancy,9,R,5
19056910050,416100,EA,Grocery Ambient,Canned Food and Ready to Eat,G/G Corn Niblets Fancy,9,R,5
19056910095,416221,EA,Grocery Ambient,Canned Food and Ready to Eat,G/G Peaches/Crm W K Corn,9,R,5
19056910128,506364,EA,Grocery Ambient,Canned Food and Ready to Eat,GrnGiant W K/Corn N/Sgr N/Slt,9,R,5
19056910235,551102,EA,Grocery Ambient,Canned Food and Ready to Eat,G/G Corn Niblet Crm Style,9,R,5
19056910260,551103,EA,Grocery Ambient,Canned Food and Ready to Eat,G/G Corn Niblet Crm Style,9,R,5
19056910270,551104,EA,Grocery Ambient,Canned Food and Ready to Eat,G/G Corn Crm Style Fancy,9,R,5
19056910925,500864,EA,Grocery Ambient,Canned Food and Ready to Eat,G/G Corn 1/3 Less Salt,9,R,5
19056916160,551073,EA,Grocery Ambient,Canned Food and Ready to Eat,G/G Cut Green Beans,9,R,5
19056916660,551077,EA,Grocery Ambient,Canned Food and Ready to Eat,G/G Cut Wax Beans,9,R,5
19056916980,502341,EA,Grocery Ambient,Canned Food and Ready to Eat,G.G.Less Salt Green Bean,9,R,5
2066200323,313130,EA,Grocery Ambient,Meal Makers,NewmnOwn Vinaigrett Lt Caesar,9,R,8
2066200324,349106,EA,Grocery Ambient,Meal Makers,NewmnOwn Greek w/Feta Dressing,9,R,8
2066200483,254986,EA,Grocery Ambient,Meal Makers,NewmnOwn Dressing O/Oil & Vin,9,R,8
2066200484,254981,EA,Grocery Ambient,Meal Makers,NewmnOwn Dressing Balsamic Vin,9,R,8
2066200485,313092,EA,Grocery Ambient,Meal Makers,NewmnOwn Dressing Crmy Caesar,9,R,8
2066200486,254982,EA,Grocery Ambient,Meal Makers,NewmnOwn Drsng Fam Recipe Ital,9,R,8
2066200488,254987,EA,Grocery Ambient,Meal Makers,NewmnOwn Drsing Parm&Rstd Grlc,9,R,8
2066200490,254978,EA,Grocery Ambient,Meal Makers,NewmnOwn Drsng Sesame Thai,9,R,8
2727111228,254288,EA,Grocery Ambient,Meal Makers,Briannas Dress Poppy Seed,9,R,8
2727111528,254290,EA,Grocery Ambient,Meal Makers,Briannas Dij Hon Mustard Dress,9,R,8
2727112028,523940,EA,Grocery Ambient,Meal Makers,Briannas Asiago Ceasar Dressin,9,R,8
3120044498,214177,EA,Grocery Ambient,Snacking,OcnSpray Cranberry Sauce Jlld,9,R,7
3120044499,214173,EA,Grocery Ambient,Snacking,OcnSpray Cranberry Sauce Whole,9,R,7
3760025835,836727,EA,Grocery Ambient,Canned Food and Ready to Eat,Spam Luncheon Meat Low Sodium,9,R,10
3760043254,143427,EA,Produce,Prepared Fruits and Vegetables,Hormel Real Bacon Pieces,9,R,9
3760058329,207962,EA,Produce,Prepared Fruits and Vegetables,Hormel Real Bacon Bits,9,R,9
